cleric_save_vs_poison_bonus = {
	1 = 5
	2 = 0
	3 = 0
}

mage_save_vs_poison_bonus = {
	1 = 8
	2 = 0
	3 = 0
}

rogue_save_vs_poison_bonus = {
	1 = 5
	2 = 0
	3 = 0
}

warrior_save_vs_poison_bonus = {
	1 = 6
	2 = 0
	3 = 1
	4 = 0
	5 = 2
	6 = 0
	7 = 1
	8 = 0
	9 = 2
	10 = 0
	11 = 1
	12 = 0
	13 = 2
	14 = 0
	15 = 1
	16 = 0
	17 = 1
	18 = 0
	19 = 0
	20 = 0
}

low_saving_throw_bonus = {
	1 = 0
	2 = 0
	3 = 1
	4 = 0
	5 = 0
	6 = 1
	7 = 0
	8 = 0
	9 = 1
	10 = 0
	11 = 0
	12 = 1
	13 = 0
	14 = 0
	15 = 1
	16 = 0
	17 = 0
	18 = 1
	19 = 0
	20 = 0
}

high_saving_throw_bonus = {
	1 = 2
	2 = 1
	3 = 0
	4 = 1
	5 = 0
	6 = 1
	7 = 0
	8 = 1
	9 = 0
	10 = 1
	11 = 0
	12 = 1
	13 = 0
	14 = 1
	15 = 0
	16 = 1
	17 = 0
	18 = 1
	19 = 0
	20 = 1
}
